alg      instance      k  rep    v         
G        test          2  3      5         
G        test          2  4      5         
G        test          2  5      5         
G        test          2  6      5         
G        test          2  7      5         
G        test          2  8      5         
G        test          2  9      5         
G        test          2  10     5         
G        test          3  1      5         
G        test          3  2      5         
G        test          3  3      5         
G        test          3  4      5         
G        test          3  5      5         
G        test          3  6      5         
G        test          3  7      5         
G        test          3  8      5         
G        test          3  9      5         
G        test          3  10     5         
G        test          4  1      5         
G        test          4  2      5         
G        test          4  3      5         
G        test          4  4      5         
G        test          4  5      5         
G        test          4  6      5         
G        test          4  7      5         
G        test          4  8      5         
G        test          4  9      5         
G        test          4  10     5         
G        test          5  1      5         
G        test          5  2      5         
G        test          5  3      5         
G        test          5  4      5         
G        test          5  5      5         
alg      instance      k  rep    v         
G        test          0  1      5         
G        test          0  2      5         
G        test          0  3      5         
G        test          0  4      5         
G        test          0  5      5         
G        test          0  6      5         
G        test          0  7      5         
G        test          0  8      5         
G        test          0  9      5         
G        test          0  10     5         
G        test          1  1      5         
G        test          1  2      5         
G        test          1  3      5         
G        test          1  4      5         
G        test          1  5      5         
G        test          1  6      5         
G        test          1  7      5         
G        test          1  8      5         
G        test          1  9      5         
G        test          1  10     5         
G        test          2  1      5         
G        test          2  2      5         
G        test          2  3      5         
G        test          2  4      5         
G        test          2  5      5         
G        test          2  6      5         
G        test          2  7      5         
G        test          2  8      5         
G        test          2  9      5         
G        test          2  10     5         
G        test          3  1      5         
G        test          3  2      4         
G        test          3  3      5         
G        test          3  4      5         
G        test          3  5      5         
G        test          3  6      5         
G        test          3  7      5         
G        test          3  8      5         
G        test          3  9      5         
G        test          3  10     5         
G        test          4  1      5         
G        test          4  2      5         
G        test          4  3      5         
G        test          4  4      5         
G        test          4  5      5         
G        test          4  6      5         
G        test          4  7      5         
G        test          4  8      5         
G        test          4  9      5         
G        test          4  10     5         
G        test          5  1      5         
G        test          5  2      5         
G        test          5  3      5         
G        test          5  4      5         
G        test          5  5      5         
G        test          5  6      5         
G        test          5  7      5         
G        test          5  8      5         
G        test          5  9      5         
G        test          5  10     5         
alg      instance      k  rep    v         
G        test          0  1      5         
G        test          0  2      5         
G        test          0  3      5         
G        test          0  4      5         
G        test          0  5      5         
G        test          0  6      5         
G        test          0  7      5         
G        test          0  8      5         
G        test          0  9      5         
G        test          0  10     5         
G        test          1  1      5         
G        test          1  2      5         
G        test          1  3      5         
G        test          1  4      5         
G        test          1  5      5         
G        test          1  6      5         
G        test          1  7      5         
G        test          1  8      5         
G        test          1  9      5         
G        test          1  10     5         
G        test          2  1      5         
G        test          2  2      5         
G        test          2  3      5         
G        test          2  4      5         
G        test          2  5      5         
G        test          2  6      5         
G        test          2  7      5         
G        test          2  8      5         
G        test          2  9      5         
G        test          2  10     5         
G        test          3  1      5         
G        test          3  2      5         
G        test          3  3      5         
G        test          3  4      5         
G        test          3  5      5         
G        test          3  6      5         
G        test          3  7      5         
G        test          3  8      5         
G        test          3  9      5         
G        test          3  10     5         
G        test          4  1      5         
G        test          4  2      5         
G        test          4  3      5         
G        test          4  4      4         
G        test          4  5      5         
G        test          4  6      5         
G        test          4  7      5         
G        test          4  8      5         
G        test          4  9      5         
G        test          4  10     5         
G        test          5  1      5         
G        test          5  2      5         
G        test          5  3      5         
G        test          5  4      5         
G        test          5  5      5         
G        test          5  6      5         
G        test          5  7      5         
G        test          5  8      5         
G        test          5  9      5         
G        test          5  10     5         
alg      instance      k  rep    v         
G        test          0  1      5         
G        test          0  2      5         
G        test          0  3      5         
G        test          0  4      5         
G        test          0  5      5         
G        test          0  6      5         
G        test          0  7      5         
G        test          0  8      5         
G        test          0  9      5         
G        test          0  10     5         
G        test          1  1      5         
G        test          1  2      5         
G        test          1  3      5         
G        test          1  4      5         
G        test          1  5      5         
G        test          1  6      5         
G        test          1  7      5         
G        test          1  8      5         
G        test          1  9      5         
G        test          1  10     5         
G        test          2  1      5         
G        test          2  2      5         
G        test          2  3      5         
G        test          2  4      5         
G        test          2  5      5         
G        test          2  6      5         
G        test          2  7      5         
G        test          2  8      5         
G        test          2  9      5         
G        test          2  10     5         
G        test          3  1      5         
G        test          3  2      5         
G        test          3  3      5         
G        test          3  4      5         
G        test          3  5      5         
G        test          3  6      5         
G        test          3  7      5         
G        test          3  8      5         
G        test          3  9      5         
G        test          3  10     5         
G        test          4  1      5         
G        test          4  2      4         
G        test          4  3      5         
G        test          4  4      5         
G        test          4  5      5         
G        test          4  6      5         
G        test          4  7      5         
G        test          4  8      5         
G        test          4  9      5         
G        test          4  10     4         
G        test          5  1      5         
G        test          5  2      4         
G        test          5  3      5         
G        test          5  4      4         
G        test          5  5      5         
G        test          5  6      5         
G        test          5  7      5         
G        test          5  8      5         
G        test          5  9      5         
G        test          5  10     5         
alg      instance      k  rep    v         
G        test          0  1      5         
G        test          0  2      5         
G        test          0  3      5         
G        test          0  4      5         
G        test          0  5      5         
G        test          0  6      5         
G        test          0  7      5         
G        test          0  8      5         
G        test          0  9      5         
G        test          0  10     5         
G        test          1  1      5         
G        test          1  2      5         
G        test          1  3      5         
G        test          1  4      5         
G        test          1  5      5         
G        test          1  6      5         
G        test          1  7      5         
G        test          1  8      5         
G        test          1  9      5         
G        test          1  10     5         
G        test          2  1      5         
G        test          2  2      5         
G        test          2  3      5         
G        test          2  4      5         
G        test          2  5      5         
G        test          2  6      5         
G        test          2  7      5         
G        test          2  8      5         
G        test          2  9      5         
G        test          2  10     5         
G        test          3  1      5         
G        test          3  2      5         
G        test          3  3      5         
G        test          3  4      5         
G        test          3  5      5         
G        test          3  6      5         
G        test          3  7      5         
G        test          3  8      5         
G        test          3  9      5         
G        test          3  10     5         
G        test          4  1      5         
G        test          4  2      5         
G        test          4  3      5         
G        test          4  4      5         
G        test          4  5      5         
G        test          4  6      5         
G        test          4  7      5         
G        test          4  8      5         
G        test          4  9      5         
G        test          4  10     5         
G        test          5  1      5         
G        test          5  2      5         
G        test          5  3      4         
G        test          5  4      4         
G        test          5  5      5         
G        test          5  6      5         
G        test          5  7      5         
G        test          5  8      5         
G        test          5  9      5         
G        test          5  10     5         
